_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,gps_lock,satellites,temperature_internal,temperature_external,battery
"$$VR2SC,170,12:53:55,52.23885,-0.11415,4942,3,10,15.4,-10.0,4.9*E928","G8FJG_2,G8KNN,G0HDI",170,12:53:55,52.23885,-0.11415,4942,3,10,15.4,-10.0,4.9
"$$VR2SC,171,12:54:24,52.23839,-0.11156,5168,3,9,14.5,-10.9,4.9*7173",G8KNN,171,12:54:24,52.23839,-0.11156,5168,3,9,14.5,-10.9,4.9
"$$VR2SC,172,12:54:38,52.23813,-0.11023,5267,3,10,14.5,-11.9,4.9*090D","G8FJG_2,G8KNN",172,12:54:38,52.23813,-0.11023,5267,3,10,14.5,-11.9,4.9
"$$VR2SC,173,12:54:38,52.23813,-0.11023,5267,3,10,14.5,-11.9,4.9*86F1","G8FJG_2,G8KNN",173,12:54:38,52.23813,-0.11023,5267,3,10,14.5,-11.9,4.9
"$$VR2SC,174,12:55:07,52.23706,-0.10722,5439,3,10,14.5,-12.9,4.9*71A1","G8FJG_2,G8KNN,G0HDI",174,12:55:07,52.23706,-0.10722,5439,3,10,14.5,-12.9,4.9
"$$VR2SC,175,12:55:07,52.23706,-0.10722,5439,3,10,13.5,-13.9,4.9*8C34","G8FJG_2,G8KNN,G0HDI",175,12:55:07,52.23706,-0.10722,5439,3,10,13.5,-13.9,4.9
"$$VR2SC,176,12:55:36,52.23606,-0.10363,5652,3,10,13.5,-13.9,4.9*AFF1","G8FJG_2,G8KNN,G0HDI",176,12:55:36,52.23606,-0.10363,5652,3,10,13.5,-13.9,4.9
"$$VR2SC,177,12:55:36,52.23606,-0.10363,5652,3,10,12.5,-14.8,4.9*D67B","G0TDJ,G8FJG_2,G8KNN,G0HDI",177,12:55:36,52.23606,-0.10363,5652,3,10,12.5,-14.8,4.9
"$$VR2SC,178,12:56:05,52.23617,-0.10037,5851,3,10,12.5,-15.8,4.9*E675","G8FJG_2,G8KNN,G0HDI",178,12:56:05,52.23617,-0.10037,5851,3,10,12.5,-15.8,4.9
"$$VR2SC,179,12:56:05,52.23617,-0.10037,5851,3,10,12.5,-15.8,4.9*6989","G0TDJ,G8FJG_2,G8KNN,G0HDI",179,12:56:05,52.23617,-0.10037,5851,3,10,12.5,-15.8,4.9
"$$VR2SC,180,12:56:34,52.23570,-0.09737,6065,3,9,11.5,-16.8,4.9*3BF4","G8FJG_2,G8KNN",180,12:56:34,52.2357,-0.09737,6065,3,9,11.5,-16.8,4.9
"$$VR2SC,181,12:56:48,52.23549,-0.09620,6157,3,8,11.5,-17.8,4.9*C417","EDU0001,G8FJG_2,G8KNN,EARS_chase,G0HDI",181,12:56:48,52.23549,-0.0962,6157,3,8,11.5,-17.8,4.9
"$$VR2SC,182,12:57:02,52.23567,-0.09447,6246,3,8,12.5,-18.8,4.9*6046","EDU0001,G8FJG_2,G8KNN,G0HDI",182,12:57:02,52.23567,-0.09447,6246,3,8,12.5,-18.8,4.9
"$$VR2SC,183,12:57:16,52.23540,-0.09241,6333,3,8,11.5,-18.8,4.9*765E","G0TDJ,G8FJG_2,G8KNN,G0HDI",183,12:57:16,52.2354,-0.09241,6333,3,8,11.5,-18.8,4.9
"$$VR2SC,184,12:57:30,52.23509,-0.09071,6444,3,10,11.5,-19.7,4.9*6779","EDU0001,G8FJG_2,G8KNN,EARS_chase,G0HDI",184,12:57:30,52.23509,-0.09071,6444,3,10,11.5,-19.7,4.9
"$$VR2SC,186,12:57:59,52.23480,-0.08722,6629,3,8,10.5,-21.7,4.9*4B75","G0TDJ,G8FJG_2,G8KNN,EARS_chase",186,12:57:59,52.2348,-0.08722,6629,3,8,10.5,-21.7,4.9
"$$VR2SC,185,12:57:30,52.23509,-0.09071,6444,3,10,11.5,-19.7,4.9*E885","G0TDJ,G8KNN,EARS_chase,G0HDI",185,12:57:30,52.23509,-0.09071,6444,3,10,11.5,-19.7,4.9
"$$VR2SC,187,12:58:13,52.23475,-0.08555,6744,3,9,10.5,-21.7,4.9*C319","G8FJG_2,G8KNN,EARS_chase,G0HDI",187,12:58:13,52.23475,-0.08555,6744,3,9,10.5,-21.7,4.9
"$$VR2SC,188,12:58:27,52.23459,-0.08377,6850,3,9,9.6,-22.7,4.9*B83C","G0TDJ,G8FJG_2,G8KNN,EARS_chase,G0HDI",188,12:58:27,52.23459,-0.08377,6850,3,9,9.6,-22.7,4.9
"$$VR2SC,189,12:58:41,52.23382,-0.08264,6915,3,8,10.5,-22.7,4.9*B782","G0TDJ,G8FJG_2,EARS_chase,G0HDI",189,12:58:41,52.23382,-0.08264,6915,3,8,10.5,-22.7,4.9
"$$VR2SC,190,12:58:55,52.23343,-0.08111,6988,3,10,9.6,-23.6,4.9*C439","G0TDJ,G8FJG_2,G8KNN,EARS_chase,G0HDI",190,12:58:55,52.23343,-0.08111,6988,3,10,9.6,-23.6,4.9
"$$VR2SC,191,12:59:09,52.23328,-0.07901,7121,3,10,10.5,-24.6,4.9*AA5F","G0TDJ,G8FJG_2,G8KNN,EARS_chase,G0HDI",191,12:59:09,52.23328,-0.07901,7121,3,10,10.5,-24.6,4.9
"$$VR2SC,192,12:59:09,52.23328,-0.07901,7121,3,10,9.6,-24.6,4.9*491B","G0TDJ,G8FJG_2,G8KNN,EARS_chase,G0HDI",192,12:59:09,52.23328,-0.07901,7121,3,10,9.6,-24.6,4.9
"$$VR2SC,193,12:59:38,52.23334,-0.07519,7353,3,10,9.6,-25.6,4.9*58B6","G0TDJ,G8FJG_2,G8KNN,EARS_chase,G0HDI",193,12:59:38,52.23334,-0.07519,7353,3,10,9.6,-25.6,4.9
"$$VR2SC,194,12:59:52,52.23345,-0.07344,7470,3,10,9.6,-26.6,4.9*8051","G0TDJ,G8FJG_2,G8KNN,EARS_chase,G0HDI",194,12:59:52,52.23345,-0.07344,7470,3,10,9.6,-26.6,4.9
"$$VR2SC,195,13:00:06,52.23345,-0.07123,7576,3,7,9.6,-27.5,4.9*5361","G0TDJ,G8FJG_2,G8KNN,EARS_chase,G0HDI",195,13:00:06,52.23345,-0.07123,7576,3,7,9.6,-27.5,4.9
"$$VR2SC,196,13:00:20,52.23405,-0.06924,7640,3,7,8.6,-27.5,4.9*BB7B","G0TDJ,G8FJG_2,G8KNN,G0HDI",196,13:00:20,52.23405,-0.06924,7640,3,7,8.6,-27.5,4.9
"$$VR2SC,197,13:00:34,52.23470,-0.06682,7721,3,10,8.6,-28.5,4.9*7260","G0TDJ,G8FJG_2,G8KNN,EARS_chase,G0HDI",197,13:00:34,52.2347,-0.06682,7721,3,10,8.6,-28.5,4.9
"$$VR2SC,198,13:00:48,52.23512,-0.06421,7813,3,10,7.6,-29.5,4.9*1E72","G0TDJ,G8FJG_2,G8KNN,EARS_chase,G0HDI",198,13:00:48,52.23512,-0.06421,7813,3,10,7.6,-29.5,4.9
