_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,battery
"$$X0,398,12:29:34,52.40081,0.14378,5775,8,4.68*2D42","G8ZBJ,2E0KPI,M0UPU,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",398,12:29:34,52.40081,0.14378,5775,8,4.68
"$$X0,396,12:29:10,52.39644,0.13704,5657,8,4.69*1E1A","2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",396,12:29:10,52.39644,0.13704,5657,8,4.69
"$$X0,397,12:29:22,52.39866,0.14039,5717,8,4.69*BB1C","M0UPU,2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",397,12:29:22,52.39866,0.14039,5717,8,4.69
"$$X0,399,12:29:46,52.40301,0.14704,5834,8,4.68*1A1A","G8ZBJ,2E0KPI,M0UPU,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",399,12:29:46,52.40301,0.14704,5834,8,4.68
"$$X0,400,12:29:58,52.40523,0.15023,5881,8,4.68*96E8","M0UPU,2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",400,12:29:58,52.40523,0.15023,5881,8,4.68
"$$X0,401,12:30:10,52.40745,0.15346,5934,8,4.68*3E9C","2E0KPI,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,G6GZH",401,12:30:10,52.40745,0.15346,5934,8,4.68
"$$X0,402,12:30:22,52.40969,0.15661,5976,8,4.68*FA96","M0UPU,PD3T,2E0KPI,G8ZBJ,G0HWW,G8KNN,G8FJG_1,PE1ANS,G0WXI,G6GZH",402,12:30:22,52.40969,0.15661,5976,8,4.68
"$$X0,403,12:30:34,52.41189,0.15965,6030,8,4.67*837D","2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",403,12:30:34,52.41189,0.15965,6030,8,4.67
"$$X0,404,12:30:46,52.41416,0.16269,6085,8,4.68*7112","M0UPU,PD3T,2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,G6GZH",404,12:30:46,52.41416,0.16269,6085,8,4.68
"$$X0,405,12:30:58,52.41637,0.16560,6135,8,4.68*3E2B","2E0KPI,G6GZH,G0HWW,G8KNN,G8FJG_1,PE1ANS,G0WXI,PD3T",405,12:30:58,52.41637,0.1656,6135,8,4.68
